"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","V5","V6","V7"
"Ascospores hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1.5-2 µm","Ophiostoma huntii_18041_12234","Ascospores","3-4 x 1.5-2 µ",3.5,1.75,NA,NA,NA,NA,NA
"Ascospores flagelliform or filiform, colourless, tapering towards both ends, 6-13-septate, 125-215 x 2,5-6,5 µm,","Pseudocochliobolus pallescens_127478_16647","Ascospores","125-215 x 2,5-6,5 µ",170,4.5,NA,NA,NA,NA,NA
"ascospores 19-26 x 10-14 µm,","Rhizocarpon inimicum_127494_54311","ascospores","19-26 x 10-14 µ",22.5,12,NA,NA,NA,NA,NA
"ascospores hyaline, simple, ellipsoid, 9-12(-13) x 4-5.5 µm,","Clauzadea monticola_196835_71492","ascospores","9-12(-13) x 4-5.5 µ",12,4.75,NA,NA,NA,NA,NA
"ascospores hyaline, simple, ellipsoid, 17.5-22 x 7-8 µm,","Porpidia tuberculosa_199735_68829","ascospores","17.5-22 x 7-8 µ",19.75,7.5,NA,NA,NA,NA,NA
"Ascospores multiseptate, hyaline, smooth, disarticulating at middle septum; part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784_18900","Ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5 µ",53,2.25,NA,NA,NA,NA,NA
"part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784_18900","part-ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5 µ",53,2.25,NA,NA,NA,NA,NA
"Ascospores 7.5-12 x 3.7-5 µm,","Carbonea vorticosa_193385_49725","Ascospores","7.5-12 x 3.7-5 µ",9.75,4.35,NA,NA,NA,NA,NA
"ascospores hyaline, simple, oblong-ellipsoid, 10-13.5 x 3-5 µm.","Carbonea vorticosa_193385_56722","ascospores","10-13.5 x 3-5 µ",11.75,4,NA,NA,NA,NA,NA
"ascospores arranged uniseriate, biseriate to irregularly biseriate. Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Cryptodiaporthe racemula_141520_43837","ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5) µ",9.5,2.75,NA,NA,NA,NA,NA
"Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Cryptodiaporthe racemula_141520_43837","Ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5) µ",9.5,2.75,NA,NA,NA,NA,NA
"Ascospores filiform, hyaline, 2-septate, smooth, 65-100 µm","Cyclaneusma minus_120738_15445","Ascospores","65-100 µ",82.5,NA,NA,NA,NA,NA,NA
"Ascospores filiform, hyaline, 2-septate, smooth, 75-120 µm","Cyclaneusma niveum_141862_15446","Ascospores","75-120 µ",97.5,NA,NA,NA,NA,NA,NA
"ascospores arranged obliquely uniseriate to irregularly multiseriate. Ascospores fusiform with rounded ends, straight to slightly curved, one-septate, median to submedian or supramedian, not constricted or slightly constricted at septum, each cell with several small guttules, (11-)12-14(-15)-(2-)3-4 µm","Gnomonia quercus-gambellii_127942_53654","ascospores","(11-)12-14(-15)-(2-)3-4 µ",15,NA,NA,NA,NA,NA,NA
"Ascospores fusiform with rounded ends, straight to slightly curved, one-septate, median to submedian or supramedian, not constricted or slightly constricted at septum, each cell with several small guttules, (11-)12-14(-15)-(2-)3-4 µm","Gnomonia quercus-gambellii_127942_53654","Ascospores","(11-)12-14(-15)-(2-)3-4 µ",15,NA,NA,NA,NA,NA,NA
"Ascospores oblate, brownish-black, 11.5-17.0 x 10-12 x 7-8 µm,","Lecythophora hoffmannii_20639_11776","Ascospores","11.5-17.0 x 10-12 x 7-8 µ",14.25,11,7.5,NA,NA,NA,NA
"Ascospores parallel to partly or closely coiled in a helix in the ascus, filiform, somewhat tapering towards the ends or flagelliform at the ends, hyaline to very pale, 3-13-septate, 81-206 x 2,5-5,5µm.","Cochliobolus australiensis_130625_15772","Ascospores","81-206 x 2,5-5,5µ",143.5,4,NA,NA,NA,NA,NA
"Ascospores lenticular, variable in size, 2.2-3.8(-4.0) x 1.5-2.8(-3.0) µm,","Eupenicillium euglaucum_9849_16351","Ascospores","2.2-3.8(-4.0) x 1.5-2.8(-3.0) µ",3.8,2.8,NA,NA,NA,NA,NA
"Ascospores hyaline, broadly lenticular, 3.0-3.5(-3.7) x 2.0-2.5(-2.7) µm,","Eupenicillium limoneum_18996_16353","Ascospores","3.0-3.5(-3.7) x 2.0-2.5(-2.7) µ",3.5,2.5,NA,NA,NA,NA,NA
"Ascospores hyaline to pale when mature, primarily 6-9 transversely septate, becoming progressively submuriform (1-3 vertical septa), ellipsoidal, with round to subacute ends, non halonate, 35-40(-50) x 13-17(-20) µm,","Letrouitia transgressa_192990_60871","Ascospores","35-40(-50) x 13-17(-20) µ",40,17,NA,NA,NA,NA,NA
"ascospores mainly biseriate. Ascospores fusiform to slightly clavate with narrowly rounded ends, slightly curved, (17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µm","Nectria rehmiana_144403_47750","ascospores","(17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µ",17.15,NA,NA,NA,NA,NA,NA
"Ascospores fusiform to slightly clavate with narrowly rounded ends, slightly curved, (17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µm","Nectria rehmiana_144403_47750","Ascospores","(17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µ",17.15,NA,NA,NA,NA,NA,NA
"ascospores are fusoid, straight or slightly curved, ends obtuse, seven-septate, 22-27 x 5-6 µm.","Torrubiella hirsutellae_166664_47461","ascospores","22-27 x 5-6 µ",24.5,5.5,NA,NA,NA,NA,NA
"Ascospores hyaline, aseptate, filiform, smooth, 70-110 x 1,5-2,5 µm,","Lophodermium agathidis_128749_15580","Ascospores","70-110 x 1,5-2,5 µ",90,2,NA,NA,NA,NA,NA
"Ascospores arranged in fascicles sometimes helically coiled, 70-95 x 1.2-1.6 µm,","Lophodermium agathidis_128749_55041","Ascospores","70-95 x 1.2-1.6 µ",82.5,1.4,NA,NA,NA,NA,NA
"Ascospores hyaline or nearly hyaline, cylindrical to ellipsoidal, 6-8 x 2.5-3.2 µm,","Dipodascus macrosporus_8683_17171","Ascospores","6-8 x 2.5-3.2 µ",7,2.85,NA,NA,NA,NA,NA
"Ascospores hyaline, aseptate, smooth, filiform, 60-90 x 1-1,5 µm,","Lophodermium kumaunicum_129101_15582","Ascospores","60-90 x 1-1,5 µ",75,1.25,NA,NA,NA,NA,NA
"ascospores (2-)3-5(-7), ellipsoid-ovoid (-subglobose), 16-25.5 x 10.5-16.5 µm.","Microsphaera cinnamomi_187470_29221","ascospores",")16-25.5 x 10.5-16.5 µ",20.75,13.5,NA,NA,NA,NA,NA
"Ascospores fusiform, L/W 3.0, straight, 15-18 x 5-7 µm,","Bricookea sepalorum_167226_18855","Ascospores","15-18 x 5-7 µ",16.5,6,NA,NA,NA,NA,NA
"Ascospores 8 per ascus, uniseriate, overlapping, hyaline, ellipsoid to fusoid with obtuse ends, smooth, widest at the median septum or slightly above, unconstricted, 6.5-10.5-2.5-4 µm;","Nectria camelliae_123753_9532","Ascospores","6.5-10.5-2.5-4 µ",6.5,NA,NA,NA,NA,NA,NA
"Ascospores 1-septate, ellipsoid to clavate, uni-to biseriate 7-12 x 3-4 µm.","Nectria camelliae_123753_18121","Ascospores","7-12 x 3-4 µ",9.5,3.5,NA,NA,NA,NA,NA
"ascospores about 100 per asci, simple, hyaline, narrowly ellipsoid, 2.5-5-1-1.5 µm.","Polysporina lapponica_196747_25475","ascospores","2.5-5-1-1.5 µ",3,NA,NA,NA,NA,NA,NA
"Ascospores biseriate, hyaline, fusiform to ellipsoidal, 1-septate, slightly constricted at the septum, the 2 cells unequal, guttulate, apices rounded, 11-16 x 3-4 µm.","Mycosphaerella pini_172648_14340","Ascospores","11-16 x 3-4 µ",13.5,3.5,NA,NA,NA,NA,NA
"Ascospores uniseriate, ellipsoid, hyaline, 9.5-11.5 x 5.5-6.0 µm,","Arpinia luteola_129416_40364","Ascospores","9.5-11.5 x 5.5-6.0 µ",10.5,5.75,NA,NA,NA,NA,NA
"ascospores with very wide but entire rather than stellate equatorial crests (Fig. 115B). As in the species, cleistothecia are typically borne on pseudo stalks consisting of mounds of globose h¸lle cells and interwoven mycelium. Growth on Czapek's solution agar is very sparse with vegetative mycelium largely submerged. Colonies on malt extract agar, and on Czapek's solution agar enriched with 1 per cent steep liquor, grow more luxuriantly and produce cleistothecia in much greater abundance. Conidial structures and cleistothecia of the variety duplicate those of the species; asci measure 10 to 13 µm","Emericella astellata_115245_12182","ascospores","13 µ",13,NA,NA,NA,NA,NA,NA
"ascospores are larger than those of the species, with spore bodies measuring 5.5 to 6.0 µm","Emericella astellata_115245_12182","ascospores","6.0 µ",6,NA,NA,NA,NA,NA,NA
"ascospores orange-red, lenticular, smooth walled with two equatorial crests which are dentate (Fig. 107C), spore body 3.5 µm","Emericella dentata_115247_12170","ascospores","3.5 µ",3.5,NA,NA,NA,NA,NA,NA
"ascospores (Fig. 107D) lenticular, red-orange in color with two prominent pleated equatorial crests about 1.0 µm","Emericella echinulata_115248_12171","ascospores","1.0 µ",1,NA,NA,NA,NA,NA,NA
"Ascospores broadly lenticular, 3.0-4.0 x 2.5-3.0 µm,","Eupenicillium sinaicum_9964_16329","Ascospores","3.0-4.0 x 2.5-3.0 µ",3.5,2.75,NA,NA,NA,NA,NA
"ascospores ellipsoid-ovoid, ca 17-25.5x 11-15 µm.","Microsphaera swainsonae_130683_29202","ascospores","17-25.5x 11-15 µ",21.25,13,NA,NA,NA,NA,NA
"Ascospores multiseriate, overlapping, colorless, guttulate, thick-walled, straight, ellipsoidal with obtuse ends, widest in middle of the apical cell, medianly 1-septate, constricted at septum, tapering toward both ends (7-)8-9(-10) x (2-)2.5(-3) µm.","Mycosphaerella parva_58511_9580","Ascospores","(7-)8-9(-10) x (2-)2.5(-3) µ",8.5,2.5,NA,NA,NA,NA,NA
"Ascospores and germ tubes also become uniformly brown at germination. In a re-examination of the type, numerous ascospores were observed on the leaf surface exuding from pseudothecia. Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511_9580","Ascospores","6 µ",6,NA,NA,NA,NA,NA,NA
"ascospores were observed on the leaf surface exuding from pseudothecia. Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511_9580","ascospores","6 µ",6,NA,NA,NA,NA,NA,NA
"Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511_9580","Ascospores","6 µ",6,NA,NA,NA,NA,NA,NA
"Ascospores 1-celled, lemon-shaped, 6-7 x 4.0-4.5 µm,","Pseudallescheria boydii_20052_25082","Ascospores","6-7 x 4.0-4.5 µ",6.5,4.25,NA,NA,NA,NA,NA
"Ascospores colourless to slightly pigmented at maturity, filiform or flagelliform, 120-220 x 3,5-5 µm,","Pseudocochliobolus verruculosus_129620_16649","Ascospores","120-220 x 3,5-5 µ",170,4.25,NA,NA,NA,NA,NA
"Ascospores biseriate, hyaline, broadly ellipsoid, uniseptate, slightly or not constricted at the septum,11-12 x 2,5-3 µm,","Diaporthe capsici_129881_15515","Ascospores",",11-12 x 2,5-3 µ",11.5,2.75,NA,NA,NA,NA,NA
"ascospores 1-8 : nae, muriformes, incoloratae, rectae vel curvulae, oblongae elongatae, 80-135 x 25-30 µm.","Helminthocarpon subalbatum_129962_31909","ascospores","80-135 x 25-30 µ",107.5,27.5,NA,NA,NA,NA,NA
"ascospores 1-8/ascus, muriform, hyaline, straight to curved, oblong to cylindrical, 25-30 x 80-135 µm","Helminthocarpon subalbatum_129962_31910","ascospores","25-30 x 80-135 µ",27.5,107.5,NA,NA,NA,NA,NA
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, 75-145-24-33.6 µm,","Helminthocarpon subalbatum_129962_31911","Ascospores","75-145-24-33.6 µ",84.5,NA,NA,NA,NA,NA,NA
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, 75-145 x 24-34 µm,","Helminthocarpon subalbatum_129962_35990","Ascospores","75-145 x 24-34 µ",110,29,NA,NA,NA,NA,NA
"ascospores (2-)3-5, ellipsoid-ovoid, 18-24 x 10-18 µm.","Microsphaera hypericacearum_206012_29186","ascospores","18-24 x 10-18 µ",21,14,NA,NA,NA,NA,NA
"Ascospores 3-4 rarely 2, 5 or 6, c. 20-25 x 10-15 µm.","Microsphaera trifolii_193203_13981","Ascospores",". 20-25 x 10-15 µ",22.5,12.5,NA,NA,NA,NA,NA
"ascospores (2-)3-5(-6), ellipsoid-ovoid, 18-30 x 10-16 µm.","Microsphaera trifolii_193203_29188","ascospores","18-30 x 10-16 µ",24,13,NA,NA,NA,NA,NA
"Ascospores hyaline, simple, narrowly ellipsoid, 8-11 x 2-3 µm.","Phyllopsora confusa_130160_49675","Ascospores","8-11 x 2-3 µ",9.5,2.5,NA,NA,NA,NA,NA
"Ascospores broadly ellipsoidal, 16-20.8 x 5.9-8.4 µm","Setomelanomma holmii_58399_65571","Ascospores","16-20.8 x 5.9-8.4 µ",18.4,7.15,NA,NA,NA,NA,NA
"Ascospores 30-40(-52) x 2-3 µm,","Chaetosphaeria fusiformis_52178_15067","Ascospores","30-40(-52) x 2-3 µ",40,2.5,NA,NA,NA,NA,NA
"ascospores (2-)3-5 in macro-asci and 2-4(-5) in micro-asci, ellipsoid-ovoid, yellowish, size (17.5-)19-23(-25) x (10-)11-14(-15) µm","Erysiphe begoniae_130429_28960","ascospores","(17.5-)19-23(-25) x (10-)11-14(-15) µ",21,12.5,NA,NA,NA,NA,NA
"Ascospores hyaline, filiform, smooth, aseptate, 70-100 x 2 µm,","Lophodermium indianum_130497_15583","Ascospores","70-100 x 2 µ",85,2,NA,NA,NA,NA,NA
"Ascospores hyaline, filiform, smooth, aseptate, 55-85 x 2 µm,","Lophodermium orientale_130498_15584","Ascospores","55-85 x 2 µ",70,2,NA,NA,NA,NA,NA
"ascospores (3-)5-6(-7), ellipsoid-ovoid or shortly cylindric, 17-24x 10-14µm.","Microsphaera hyperici_130516_29371","ascospores","17-24x 10-14µ",20.5,12,NA,NA,NA,NA,NA
"Ascospores fusoid, hyaline, straight to curved, 3 (-5)-septate, not or slightly constricted at the septum, 14-23 (-30) x 3,5-4,5 (-7,5) µm.","Monographella albescens_11549_15511","Ascospores","14-23 (-30) x 3,5-4,5 (-7,5) µ",23,4.5,NA,NA,NA,NA,NA
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, (135-) 168-205 x 54-96 µm","Phaeographina rufospora_130598_31886","Ascospores","(135-) 168-205 x 54-96 µ",168,75,NA,NA,NA,NA,NA
"Ascospores parallel to partly or closely coiled in a helix in the ascus, filiform, somewhat tapering towards the ends or flagelliform at the ends, hyaline to very pale, 3-13-septate, 81-206 x 2,5-5,5µm.","Pseudocochliobolus australiensis_130626_15772","Ascospores","81-206 x 2,5-5,5µ",143.5,4,NA,NA,NA,NA,NA
"Ascospores hyaline, filiform, tapering to an acute end, loosely coiled in the ascus, 85-190 x 2,5-6 µm,","Pseudocochliobolus hawaiiensis_179367_15510","Ascospores","85-190 x 2,5-6 µ",137.5,4.25,NA,NA,NA,NA,NA
"ascospores ellipsoid-ovoid, ca 17-25.5x 11-15 µm.","Trichocladia swainsonae_374339_29202","ascospores","17-25.5x 11-15 µ",21.25,13,NA,NA,NA,NA,NA
"Ascospores cylindrical, ends rounded, 19-25 x 4-4.5 µm,","Cercophora solaris_145228_53417","Ascospores","19-25 x 4-4.5 µ",22,4.25,NA,NA,NA,NA,NA
"Ascospores cylindrical, ends rounded, 40-49 x 4-5 µm,","Cercophora costaricensis_182416_53415","Ascospores","40-49 x 4-5 µ",44.5,4.5,NA,NA,NA,NA,NA
"Ascospores (66-)70-85(-90) x 3-3.5(-4) µm","Tubeufia scopula_157419_17904","Ascospores","(66-)70-85(-90) x 3-3.5(-4) µ",77.5,3.5,NA,NA,NA,NA,NA
"Ascospores hyaline, filiform, smooth, tapering towards the base, at first aseptate, later 1-3-septate while still inside the ascus, sometimes even becoming 5-septate, guttulate, 45-80 x 2-4 µm,","Lophomerum ponticum_131152_15586","Ascospores","45-80 x 2-4 µ",62.5,3,NA,NA,NA,NA,NA
"Ascospores soleiform, at first colourless, 1-septate, markedly constricted at septa, usually with two big guttules in each cell, easily disintegrating into two cells in squash preparations, with age getting olive and finally dark brown and 3-septate, (15-) 16.5-17.5-19 (-21)-5-5.5-6.5 (-7) µm,","Stigmidium icmadophilae_131407_26117","Ascospores","(15-) 16.5-17.5-19 (-21)-5-5.5-6.5 (-7) µ",21,NA,NA,NA,NA,NA,NA
"ascospores BCr+ blue-green. Infected areas of the host turn dark grey. Anamorph of Sphaerellothecium icmadophilae or an unidentified species of Phoma with oblong conidia 3.5-4-1.5 µm","Stigmidium icmadophilae_131407_26117","ascospores","3.5-4-1.5 µ",4,NA,NA,NA,NA,NA,NA
"Ascospores multiseptate, hyaline, smooth, disarticulating at the middle septum; part-ascospores lanceolate, multiseptate, (36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µm.","Wakefieldiomyces peltatus_149617_18901","Ascospores","(36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µ",44.35,3.85,NA,NA,NA,NA,NA
"part-ascospores lanceolate, multiseptate, (36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µm.","Wakefieldiomyces peltatus_149617_18901","part-ascospores","(36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µ",44.35,3.85,NA,NA,NA,NA,NA
"Ascospores obovoid to clavate, often inequilateral, septate in the lower third, slightly constricted at the septum, multiguttulate, 13.3-15.6 x 4.4-5.7 µm.","Fabraea ranunculi_118015_13523","Ascospores","13.3-15.6 x 4.4-5.7 µ",14.45,5.05,NA,NA,NA,NA,NA
"ascospores lenticular, mostly 4.8 to 5.6 µm","Aspergillus reptans_115204_12073","ascospores","5.6 µ",5.6,NA,NA,NA,NA,NA,NA
"Ascospores colourless to slightly pigmented at maturity, filiform or flagelliform, 120-220 x 3,5-5 µm,","Cochliobolus verruculosus_129621_16649","Ascospores","120-220 x 3,5-5 µ",170,4.25,NA,NA,NA,NA,NA
"Ascospores broadly ellipsoidal, 4-6 x 2.5-4.0 µm,","Dipodascus armillariae_11446_17177","Ascospores","4-6 x 2.5-4.0 µ",5,3.25,NA,NA,NA,NA,NA
"Ascospores arranged biseriately to irregularly, colourless, aseptate, obovate to elliptical, sometimes slightly allantoid, smooth, 12-16 x 4-5 µm,","Discosphaerina fulvida_52988_16231","Ascospores","12-16 x 4-5 µ",14,4.5,NA,NA,NA,NA,NA
"ascospores are 12-15 x 4,5-5 µm.Cultures","Fusarium subglutinans_47932_13795","ascospores","12-15 x 4,5-5 µ",13.5,4.75,NA,NA,NA,NA,NA
"ascospores (2-)3-4(-5) , ellipsoid-ovoid, (16-)18-24 x 10-15µm.","Erysiphe lycopsidis_123844_29106","ascospores","(16-)18-24 x 10-15µ",18,12.5,NA,NA,NA,NA,NA
"ascospores 4-6(-7), ellipsoid-ovoid, yellowish, (20-)23-26.5(-29) x (12-)13-15 (-17) µm.","Erysiphe symplocicola_132324_29122","ascospores","(20-)23-26.5(-29) x (12-)13-15 (-17) µ",24.75,14,NA,NA,NA,NA,NA
"Ascospores spherical, 2-3 µm","Arachnotheca vriesii_1603_11694","Ascospores","2-3 µ",2.5,NA,NA,NA,NA,NA,NA
"Ascospores hat-shaped, aseptate, hyaline, invested in a sheath, 3-6 x 2-4 µm","Ceratocystis aurea_183320_12218","Ascospores","3-6 x 2-4 µ",4.5,3,NA,NA,NA,NA,NA
"Ascospores hyaline by transmitted light, yellowish in mass, unilaterally flattened-elliptical in side view, elliptical in face view, smooth, lacking gelatinous appendages, lacking germ pores, 8.2-10.6 x 3.3-4.5 µm.","Ceratocystis helvellae_193902_13152","Ascospores","8.2-10.6 x 3.3-4.5 µ",9.4,3.9,NA,NA,NA,NA,NA
"Ascospores reniform, aseptate, hyaline, invested in a sheath, 3-5 x 2-3 µm.","Ceratocystis robusta_183324_12270","Ascospores","3-5 x 2-3 µ",4,2.5,NA,NA,NA,NA,NA
